CustomerID,Name,Age,Gender,City,SignupDate,PurchaseAmount,Email
1,John Smith,28,Male,New York,2026-01-15,250.50,john.smith@email.com
2,jane doe,,Female,los angeles,01/16/2026,180.00,jane.doe@email.com
3,Bob Johnson,35,male,Chicago,2026-01-17,,bob.j@email.com
4,Alice Brown,42,Female,New York,2026/01/18,320.75,alice.brown@email.com
4,Alice Brown,42,Female,New York,2026/01/18,320.75,alice.brown@email.com
5,  Mike Davis ,29,M,Chicago ,01-19-2026,150.00,mike.davis@email.com
6,Sarah Wilson,,female,Houston,2026-01-20,275.25,sarah.wilson@email.com
7,Tom Anderson,45,Male,houston,2026-01-21,NaN,tom.anderson@email.com
8,Emma Taylor,31,Female,Los Angeles,2026-01-22,410.00,emma.taylor@email.com
9,,38,Male,New York,2026-01-23,190.50,james.miller@email.com
10,Linda Garcia,27,F,Chicago,2026-01-24,225.00,linda.garcia@email.com
10,Linda Garcia,27,F,Chicago,2026-01-24,225.00,linda.garcia@email.com
11,Kevin White,50,Male,Houston,01/25/2026,600.00,
12,Nancy Lee,33,Female,new york,2026-01-26,145.60,nancy.lee@email.com
13,David Clark,,male,Los Angeles,2026-01-27,290.00,david.clark@email.com
